City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cidreira,-30.18,-50.21,62.58,91,0,16.8,BR,1599096251
Dzilam González,21.28,-88.93,79.97,86,99,8.1,MX,1599096251
Albany,42.6,-73.97,73.99,90,100,6.26,US,1599096114
Butaritari,3.07,172.79,83.39,73,100,13.13,KI,1599096251
Castro,-24.79,-50.01,57.85,96,7,5.95,BR,1599095993
Tasiilaq,65.61,-37.64,39.2,94,97,8.05,GL,1599096252
Saskylakh,71.92,114.08,48.0,73,100,7.05,RU,1599096252
Sakakah,29.97,40.21,82.4,18,0,8.05,SA,1599096252
Ventspils,57.39,21.56,59.0,100,75,2.24,LV,1599096252
Bluff,-46.6,168.33,52.25,63,89,7.02,NZ,1599096253
Bara,10.37,10.73,72.34,94,100,8.14,NG,1599096253
Pisco,-13.7,-76.22,62.01,82,0,3.36,PE,1599096253
Umm Hājar,13.3,19.7,73.56,81,100,3.6,TD,1599096253
Vaini,-21.2,-175.2,73.4,88,75,11.41,TO,1599096254
Pevek,69.7,170.31,37.11,82,98,10.27,RU,1599096254
Yangi Marg`ilon,40.43,71.72,75.2,36,100,6.93,UZ,1599096254
Deputatsky,69.3,139.9,38.52,75,82,9.4,RU,1599096254
Riohacha,11.54,-72.91,80.6,82,100,8.39,CO,1599096243
Rikitea,-23.12,-134.97,70.41,83,4,18.1,PF,1599096255
Longyearbyen,78.22,15.64,39.2,86,75,6.93,SJ,1599096255
Sitka,57.05,-135.33,53.6,93,90,4.7,US,1599096255
Narsaq,60.92,-46.05,44.6,48,0,4.7,GL,1599096255
Katsuura,35.13,140.3,87.8,94,75,11.41,JP,1599096256
Ribeira Grande,38.52,-28.7,73.47,80,91,8.3,PT,1599096256
Moyale,3.52,39.06,63.79,62,0,6.93,KE,1599096256
Hamilton,39.18,-84.53,78.01,83,90,4.7,US,1599095998
East London,-33.02,27.91,65.14,82,57,5.17,ZA,1599096257
Thompson,55.74,-97.86,50.0,71,40,6.93,CA,1599096155
Ushuaia,-54.8,-68.3,37.4,74,75,0.81,AR,1599096163
Ngunguru,-35.62,174.5,57.0,8,0,7.0,NZ,1599096257
Khovd,48.01,91.64,64.38,35,0,0.27,MN,1599096257
Tuktoyaktuk,69.45,-133.04,53.6,87,75,5.82,CA,1599096257
Northam,51.03,-4.22,64.99,98,100,11.01,GB,1599096258
Abu Kamal,34.45,40.92,83.25,17,0,4.81,SY,1599096258
Cape Town,-33.93,18.42,60.01,87,75,14.99,ZA,1599096258
Hilo,19.73,-155.09,84.2,54,1,10.29,US,1599096017
Hermanus,-34.42,19.23,55.99,95,60,8.99,ZA,1599096258
Qaanaaq,77.48,-69.36,24.94,78,0,5.91,GL,1599096259
Jamestown,42.1,-79.24,70.0,93,1,6.93,US,1599096259
Oodweyne,9.41,45.06,73.53,56,1,9.42,SO,1599096259
Stillwater,36.12,-97.06,80.6,78,75,4.21,US,1599096126
Lázaro Cárdenas,17.96,-102.2,79.74,81,0,5.75,MX,1599096259
Saint Paul Harbor,57.79,-152.41,55.4,76,90,5.82,US,1599096260
Bilma,18.69,12.92,88.66,42,0,9.55,NE,1599096260
São Félix do Xingu,-6.64,-51.99,76.71,39,0,1.5,BR,1599096260
Fairbanks,64.84,-147.72,57.2,58,20,4.7,US,1599096109
Chui,-33.7,-53.46,61.29,94,100,14.18,UY,1599096261
Aksarka,66.56,67.8,44.26,93,100,11.72,RU,1599096261
Provideniya,64.38,-173.3,48.2,66,75,6.71,RU,1599096261
Cururupu,-1.83,-44.87,74.1,92,28,3.62,BR,1599096261
Ryōtsu-minato,38.08,138.43,93.2,59,0,6.93,JP,1599096262
Ostrovnoy,68.05,39.51,49.96,79,100,17.31,RU,1599096262
Varhaug,58.61,5.65,57.0,93,22,4.0,NO,1599096262
Lüderitz,-26.65,15.16,53.56,57,0,5.68,NA,1599096262
Kaitangata,-46.28,169.85,55.99,54,12,10.0,NZ,1599096262
Kerema,-7.96,145.78,82.22,78,17,4.14,PG,1599096263
Port Alfred,-33.59,26.89,63.23,41,1,10.36,ZA,1599096263
Assiniboia,49.63,-105.98,60.67,42,35,24.94,CA,1599096263
Busselton,-33.65,115.33,57.99,81,100,3.0,AU,1599096263
Punta Arenas,-53.15,-70.92,35.6,88,35,6.93,CL,1599096194
Saint-Philippe,-21.36,55.77,66.2,72,75,4.7,RE,1599096264
Chiguayante,-36.92,-73.02,50.0,81,75,6.93,CL,1599096264
San Patricio,19.22,-104.7,86.0,79,20,9.17,MX,1599096264
Souillac,-20.52,57.52,68.0,94,75,3.36,MU,1599096264
Vila Franca do Campo,37.72,-25.43,73.4,78,75,4.7,PT,1599096264
Kapaa,22.08,-159.32,82.99,69,75,12.75,US,1599096265
Mataura,-46.19,168.86,57.67,43,0,3.22,NZ,1599096265
Nha Trang,12.25,109.18,86.0,79,40,3.36,VN,1599096061
Palmer,42.16,-72.33,71.01,100,90,6.93,US,1599096265
George Town,5.41,100.34,82.4,88,20,1.12,MY,1599096121
Coquimbo,-29.95,-71.34,51.8,87,4,4.7,CL,1599096266
Mossamedes,-15.2,12.15,63.3,83,0,3.74,AO,1599096266
Nouadhibou,20.93,-17.03,77.0,61,0,9.17,MR,1599096266
New Norfolk,-42.78,147.06,60.01,57,0,3.0,AU,1599096266
Zhangye,38.93,100.45,70.09,22,0,1.23,CN,1599096267
Portree,57.41,-6.19,55.99,92,77,17.0,GB,1599096267
Avarua,-21.21,-159.78,78.8,78,0,13.87,CK,1599096267
Alofi,-19.06,-169.92,84.2,37,75,13.87,NU,1599096268
Huarmey,-10.07,-78.15,60.13,84,0,8.19,PE,1599096268
Khatanga,71.97,102.5,46.85,69,100,17.4,RU,1599096268
Dingle,11.0,122.67,84.72,76,97,1.1,PH,1599096264
Dali,25.7,100.18,68.22,71,78,2.84,CN,1599096268
Pedernales,18.04,-71.74,83.08,70,0,7.31,DO,1599096269
Kapiri Mposhi,-13.97,28.68,54.84,89,0,6.98,ZM,1599096269
Esperance,-33.87,121.9,55.4,71,46,13.87,AU,1599096269
Carnarvon,-24.87,113.63,66.2,59,11,17.22,AU,1599096269
Beringovskiy,63.05,179.32,47.55,63,59,8.59,RU,1599096270
Upernavik,72.79,-56.15,38.43,76,88,4.36,GL,1599096270
Hobart,-42.88,147.33,60.01,54,40,5.82,AU,1599096018
Kumul,42.8,93.45,80.2,15,0,10.04,CN,1599096270
Novikovo,51.15,37.89,64.81,68,0,11.97,RU,1599096270
Havøysund,71.0,24.66,51.8,76,100,9.17,NO,1599096271
Alyangula,-13.85,136.42,86.0,45,42,12.75,AU,1599096271
Huilong,31.81,121.66,81.0,64,0,1.99,CN,1599096271
Christiana,-27.91,25.16,50.95,85,0,9.62,ZA,1599096271
Kruisfontein,-34.0,24.73,60.01,40,0,4.0,ZA,1599096272
Kalat,29.02,66.59,60.17,31,0,2.13,PK,1599096272
Tiksi,71.69,128.87,40.66,80,16,12.97,RU,1599096272
Rovaniemi,66.5,25.72,46.4,93,0,8.05,FI,1599096272
Chegdomyn,51.12,133.02,69.42,74,99,2.33,RU,1599096273
Castlemaine,-37.07,144.22,61.0,64,0,7.0,AU,1599096273
Pacific Grove,36.62,-121.92,69.8,60,1,10.29,US,1599096273
Nikolskoye,59.7,30.79,54.0,87,35,8.95,RU,1599096273
Port Shepstone,-30.74,30.45,62.92,72,62,9.95,ZA,1599096273
Krasnoarmeysk,51.02,45.7,57.0,71,0,5.99,RU,1599096274
Norrtälje,59.76,18.7,62.01,89,100,5.01,SE,1599096274
Colonial Heights,37.27,-77.41,80.6,88,1,3.36,US,1599096274
Decatur,39.84,-88.95,75.2,83,1,4.7,US,1599096058
Abu Samrah,35.3,37.18,75.45,68,0,1.36,SY,1599096274
Ortaköy,38.74,34.04,68.0,34,0,8.05,TR,1599096275
Talnakh,69.49,88.4,37.4,100,90,8.95,RU,1599096275
Praia da Vitória,38.73,-27.07,72.0,88,24,5.68,PT,1599096247
Yabrūd,33.97,36.66,68.0,68,0,4.41,SY,1599096275
Inhambane,-23.86,35.38,63.34,71,23,7.65,MZ,1599096275
