City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Broken Hill,-31.95,141.43,55.4,47,37,5.82,AU,1599074336
Hirara,24.8,125.28,84.42,82,0,13.13,JP,1599074336
Ostrovnoy,68.05,39.51,52.21,74,98,16.87,RU,1599074337
Port Alfred,-33.59,26.89,64.51,76,37,6.62,ZA,1599074337
Khatanga,71.97,102.5,46.42,75,100,14.05,RU,1599074337
Rikitea,-23.12,-134.97,69.82,80,64,21.72,PF,1599074337
Kavieng,-2.57,150.8,81.88,74,7,5.1,PG,1599074337
Hilo,19.73,-155.09,79.0,73,90,9.17,US,1599074338
Barrow,71.29,-156.79,37.4,93,90,14.99,US,1599074238
Hualmay,-11.1,-77.61,65.3,65,21,15.1,PE,1599074043
Kiryat Gat,31.61,34.76,84.0,78,0,6.46,IL,1599074338
Amazar,53.86,120.88,46.81,87,0,1.74,RU,1599074339
Nikolskoye,59.7,30.79,57.99,76,14,8.95,RU,1599074339
Kapaa,22.08,-159.32,80.6,69,40,10.29,US,1599074339
Torbay,47.67,-52.73,64.99,63,75,8.05,CA,1599074339
San Patricio,19.22,-104.7,89.6,66,5,5.82,MX,1599074339
Busselton,-33.65,115.33,55.99,51,100,12.68,AU,1599074340
Hobart,-42.88,147.33,52.0,71,0,12.75,AU,1599074291
Vanavara,60.34,102.28,46.27,94,0,6.8,RU,1599074340
George Town,5.41,100.34,82.4,88,20,2.24,MY,1599074340
Cabo San Lucas,22.89,-109.91,89.6,70,20,4.7,MX,1599074340
San Francisco,37.77,-122.42,66.2,63,20,10.29,US,1599074177
Mataura,-46.19,168.86,36.19,82,99,2.93,NZ,1599074341
Brewster,41.4,-73.62,75.0,100,90,4.7,US,1599074341
Toamasina,-18.17,49.38,64.4,93,20,2.24,MG,1599074341
Vidim,56.41,103.11,49.21,94,82,5.91,RU,1599074341
Amalner,21.05,75.07,79.45,84,100,4.81,IN,1599074342
Gorno-Altaysk,51.96,85.95,60.01,73,0,7.47,RU,1599074342
Atuona,-9.8,-139.03,79.11,77,8,22.44,PF,1599074342
Canyon,34.98,-101.92,82.0,53,0,11.45,US,1599074105
Albany,42.6,-73.97,71.01,89,100,7.25,US,1599074313
Barcelos,41.54,-8.62,79.0,64,0,4.7,PT,1599074342
Chokurdakh,70.63,147.92,36.99,90,100,9.8,RU,1599074343
Mar del Plata,-38.0,-57.56,48.99,81,90,12.75,AR,1599074343
Punta Arenas,-53.15,-70.92,46.0,70,75,14.99,CL,1599074343
Hong Kong,22.29,114.16,86.0,74,97,7.61,HK,1599074317
Yellowknife,62.46,-114.35,50.0,66,40,16.11,CA,1599074344
Semnan,35.57,53.4,69.44,23,0,3.89,IR,1599074344
Antofagasta,-23.65,-70.4,59.0,72,20,18.34,CL,1599074344
Grand Gaube,-20.01,57.66,71.01,79,0,5.01,MU,1599074344
